Ente;Ano;Mes;ProcessoLicitatorio;Participante;Resultado;TipoParticipacao;DataHomologacao;Modalidade;Objeto;QuantidadeParticipante;ValorHomologacao;Tipologia;ValorEstimado
SAO FIDELIS;2026;2;000004/26;OMNIS PARTICIPACOES E REPRESENTACOES LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;M. A. PERCILIANO ALVES & CIA. LTDA.;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;AJR DISTRIBUICAO E SERVICOS LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;CASTRO EQUIPAMENTOS LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;JOSE NEYMAR MENDES GONCALVES ;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;TECNOFORTE;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;INOVA TECH INFORMATICA LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;VPS COMERCIAL MOVEIS E MAQUINAS LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;MASTER DE CACHOEIRO MOVEIS E EQUIPAMENTOS PARA ESC;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;SIGMA LICITACOES LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
SAO FIDELIS;2026;2;000004/26;UTIBRINK COMERCIO & REPRESENTACOES LTDA;VENCEDOR;COMUM;2026-03-05;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE REFRIGERAÇÃO E OUTROS ELETRODOMÉSTICOS;23;1224918.4;OUTRAS COMPRAS;1454096.33
